Periode;Sensor;Bygg;Rom;Første måling;Siste måling;Antall timer med data;Måleperiode (dager)
Høst 2025;Bygg 1 - rom 2;Bygg 1;2;10.08.2025 00:00;10.12.2025 23:00;2927;122,96
Høst 2025;Bygg 1 - rom 4;Bygg 1;4;10.08.2025 00:00;10.12.2025 23:00;2952;122,96
Høst 2025;Bygg 2 - rom 2;Bygg 2;2;10.08.2025 00:00;10.12.2025 23:00;2952;122,96
Høst 2025;Bygg 5 - rom 2;Bygg 5;2;10.08.2025 00:00;10.12.2025 23:00;2949;122,96
Høst 2025;Bygg 5 - rom 3;Bygg 5;3;10.08.2025 00:00;10.12.2025 23:00;2949;122,96
Høst 2025;Bygg 7 - rom 1;Bygg 7;1;10.08.2025 00:00;06.10.2025 23:00;1392;57,96
Høst 2025;Bygg 7 - rom 3;Bygg 7;3;10.08.2025 00:00;07.12.2025 22:00;2858;119,92
Høst 2025;Bygg 7 - rom 4;Bygg 7;4;10.08.2025 00:00;10.12.2025 23:00;2952;122,96
Høst 2025;Bygg 7 - rom 5;Bygg 7;5;10.08.2025 00:00;10.12.2025 23:00;2870;122,96
Høst 2025;Bygg 8 - rom 2;Bygg 8;2;10.08.2025 00:00;10.12.2025 23:00;2949;122,96
Høst 2025;Bygg 8 - rom 3;Bygg 8;3;03.09.2025 18:00;10.12.2025 23:00;2128;98,21
