Date;Time;Ventilation Indicator;IAQ Indicator;Virus Index;thermalIndicator;Temperature (°C);Humidity (%);CO2 (ppm);Formaldehyde (µg/m³);TVOC (ppb);PM 1.0 (µg/m³);PM 4.0 (µg/m³);PM 10 (µg/m³);PM 2.5 (µg/m³)
2025-05-13;00:04:16;100.00;94.00;87.00;95.00;23.60;34.00;515.00;1.00;;1.00;1.00;1.00;1.00
2025-05-13;00:04:45;100.00;83.00;87.00;95.00;23.60;34.00;515.00;1.00;186.00;1.00;1.00;1.00;1.00
2025-05-13;00:14:18;100.00;84.00;87.00;94.00;23.60;34.00;513.00;1.00;178.00;0.00;1.00;1.00;1.00
2025-05-13;00:24:19;100.00;78.00;84.00;98.00;23.60;34.00;544.00;1.00;221.00;0.00;1.00;1.00;1.00
2025-05-13;00:34:18;100.00;80.00;86.00;96.00;23.60;34.00;524.00;1.00;199.00;1.00;1.00;1.00;1.00
2025-05-13;00:44:18;100.00;81.00;87.00;97.00;23.60;34.00;513.00;1.00;193.00;1.00;1.00;1.00;1.00
2025-05-13;00:54:19;100.00;79.00;85.00;97.00;23.60;34.00;529.00;1.00;208.00;1.00;1.00;1.00;1.00
2025-05-13;01:04:18;100.00;79.00;85.00;98.00;23.50;35.00;532.00;1.00;211.00;1.00;1.00;1.00;1.00
2025-05-13;01:14:18;100.00;79.00;84.00;98.00;23.50;35.00;539.00;1.00;203.00;1.00;1.00;1.00;1.00
2025-05-13;01:24:18;100.00;79.00;84.00;100.00;23.50;35.00;542.00;1.00;205.00;1.00;1.00;1.00;1.00
2025-05-13;01:34:19;100.00;81.00;84.00;100.00;23.50;35.00;539.00;1.00;195.00;1.00;1.00;1.00;1.00
2025-05-13;01:44:18;100.00;82.00;86.00;100.00;23.50;35.00;529.00;1.00;187.00;1.00;1.00;1.00;1.00
2025-05-13;01:54:18;100.00;84.00;86.00;100.00;23.50;35.00;524.00;1.00;179.00;1.00;1.00;1.00;1.00
2025-05-13;02:04:19;100.00;84.00;87.00;100.00;23.50;36.00;521.00;1.00;176.00;1.00;1.00;1.00;1.00
2025-05-13;02:14:18;100.00;84.00;87.00;100.00;23.50;36.00;519.00;1.00;176.00;1.00;1.00;1.00;1.00
