Device;Datetime;"Humidity ext (%)";"Temp ext (C)";
"K-B3 ACOEM SW 5";2025-05-19 17:00:00;29,83;24,92;
"K-B3 ACOEM SW 5";2025-05-19 16:00:00;31,05;23,38;
"K-B3 ACOEM SW 5";2025-05-19 15:00:00;27,85;21,99;
"K-B3 ACOEM SW 5";2025-05-19 14:00:00;28,21;22,47;
"K-B3 ACOEM SW 5";2025-05-19 13:00:00;28,26;22,32;
"K-B3 ACOEM SW 5";2025-05-19 12:00:00;28,51;22,26;
"K-B3 ACOEM SW 5";2025-05-19 11:00:00;30,18;21,71;
"K-B3 ACOEM SW 5";2025-05-19 10:00:00;32,13;20,30;
"K-B3 ACOEM SW 5";2025-05-19 09:00:00;41,87;17,47;
"K-B3 ACOEM SW 5";2025-05-19 08:00:00;53,58;14,34;
"K-B3 ACOEM SW 5";2025-05-19 07:00:00;60,22;11,36;
"K-B3 ACOEM SW 5";2025-05-19 06:00:00;64,30;10,35;
"K-B3 ACOEM SW 5";2025-05-19 05:00:00;61,78;10,99;
"K-B3 ACOEM SW 5";2025-05-19 04:00:00;53,85;12,39;
"K-B3 ACOEM SW 5";2025-05-19 03:00:00;46,16;13,70;
"K-B3 ACOEM SW 5";2025-05-19 02:00:00;51,40;13,62;
"K-B3 ACOEM SW 5";2025-05-19 01:00:00;53,63;14,05;
"K-B3 ACOEM SW 5";2025-05-19 00:00:00;49,38;14,96;
"K-B3 ACOEM SW 5";2025-05-18 23:00:00;44,37;16,52;
"K-B3 ACOEM SW 5";2025-05-18 22:00:00;37,99;18,77;
"K-B3 ACOEM SW 5";2025-05-18 21:00:00;35,36;19,63;
"K-B3 ACOEM SW 5";2025-05-18 20:00:00;34,48;19,55;
"K-B3 ACOEM SW 5";2025-05-18 19:00:00;34,01;19,70;
"K-B3 ACOEM SW 5";2025-05-18 18:00:00;33,79;20,05;
"K-B3 ACOEM SW 5";2025-05-18 17:00:00;35,86;18,96;
"K-B3 ACOEM SW 5";2025-05-18 16:00:00;37,94;17,73;
"K-B3 ACOEM SW 5";2025-05-18 15:00:00;40,42;17,79;
"K-B3 ACOEM SW 5";2025-05-18 14:00:00;36,44;18,74;
"K-B3 ACOEM SW 5";2025-05-18 13:00:00;34,72;19,33;
"K-B3 ACOEM SW 5";2025-05-18 12:00:00;42,11;18,18;
"K-B3 ACOEM SW 5";2025-05-18 11:00:00;43,77;16,49;
"K-B3 ACOEM SW 5";2025-05-18 10:00:00;44,15;16,08;
"K-B3 ACOEM SW 5";2025-05-18 09:00:00;48,48;15,32;
"K-B3 ACOEM SW 5";2025-05-18 08:00:00;54,75;13,56;
"K-B3 ACOEM SW 5";2025-05-18 07:00:00;61,45;11,70;
"K-B3 ACOEM SW 5";2025-05-18 06:00:00;71,80;10,69;
"K-B3 ACOEM SW 5";2025-05-18 05:00:00;73,35;10,49;
"K-B3 ACOEM SW 5";2025-05-18 04:00:00;72,49;10,05;
"K-B3 ACOEM SW 5";2025-05-18 03:00:00;70,91;10,09;
"K-B3 ACOEM SW 5";2025-05-18 02:00:00;67,18;10,43;
"K-B3 ACOEM SW 5";2025-05-18 01:00:00;62,63;11,01;
"K-B3 ACOEM SW 5";2025-05-18 00:00:00;58,24;12,23;
"K-B3 ACOEM SW 5";2025-05-17 23:00:00;49,72;14,06;
"K-B3 ACOEM SW 5";2025-05-17 22:00:00;43,59;15,94;
"K-B3 ACOEM SW 5";2025-05-17 21:00:00;39,98;16,98;
"K-B3 ACOEM SW 5";2025-05-17 20:00:00;39,78;16,98;
"K-B3 ACOEM SW 5";2025-05-17 19:00:00;38,54;17,38;
"K-B3 ACOEM SW 5";2025-05-17 18:00:00;40,76;17,19;
"K-B3 ACOEM SW 5";2025-05-17 17:00:00;46,24;16,66;
"K-B3 ACOEM SW 5";2025-05-17 16:00:00;47,53;16,64;
"K-B3 ACOEM SW 5";2025-05-17 15:00:00;49,85;16,08;
"K-B3 ACOEM SW 5";2025-05-17 14:00:00;48,78;16,01;
"K-B3 ACOEM SW 5";2025-05-17 13:00:00;48,02;15,43;
"K-B3 ACOEM SW 5";2025-05-17 12:00:00;54,37;15,19;
"K-B3 ACOEM SW 5";2025-05-17 11:00:00;57,22;14,43;
"K-B3 ACOEM SW 5";2025-05-17 10:00:00;57,44;14,42;
"K-B3 ACOEM SW 5";2025-05-17 09:00:00;60,51;14,96;
"K-B3 ACOEM SW 5";2025-05-17 08:00:00;49,67;15,55;
"K-B3 ACOEM SW 5";2025-05-17 07:00:00;51,09;14,56;
"K-B3 ACOEM SW 5";2025-05-17 06:00:00;54,49;13,19;
"K-B3 ACOEM SW 5";2025-05-17 05:00:00;58,25;12,70;
"K-B3 ACOEM SW 5";2025-05-17 04:00:00;63,90;12,22;
"K-B3 ACOEM SW 5";2025-05-17 03:00:00;63,95;12,48;
"K-B3 ACOEM SW 5";2025-05-17 02:00:00;60,24;13,29;
"K-B3 ACOEM SW 5";2025-05-17 01:00:00;57,93;13,71;
"K-B3 ACOEM SW 5";2025-05-17 00:00:00;58,50;13,64;
"K-B3 ACOEM SW 5";2025-05-16 23:00:00;56,06;13,99;
"K-B3 ACOEM SW 5";2025-05-16 22:00:00;48,59;15,86;
"K-B3 ACOEM SW 5";2025-05-16 21:00:00;38,21;18,44;
"K-B3 ACOEM SW 5";2025-05-16 20:00:00;32,68;20,12;
"K-B3 ACOEM SW 5";2025-05-16 19:00:00;30,76;20,64;
"K-B3 ACOEM SW 5";2025-05-16 18:00:00;35,73;18,29;
"K-B3 ACOEM SW 5";2025-05-16 17:00:00;38,29;18,32;
"K-B3 ACOEM SW 5";2025-05-16 16:00:00;43,19;18,16;
"K-B3 ACOEM SW 5";2025-05-16 15:00:00;46,97;17,15;
"K-B3 ACOEM SW 5";2025-05-16 14:00:00;47,28;15,72;
"K-B3 ACOEM SW 5";2025-05-16 13:00:00;47,48;15,34;
"K-B3 ACOEM SW 5";2025-05-16 12:00:00;49,36;14,75;
"K-B3 ACOEM SW 5";2025-05-16 11:00:00;47,10;14,75;
"K-B3 ACOEM SW 5";2025-05-16 10:00:00;45,49;14,12;
"K-B3 ACOEM SW 5";2025-05-16 09:00:00;48,04;13,21;
"K-B3 ACOEM SW 5";2025-05-16 08:00:00;51,60;12,17;
"K-B3 ACOEM SW 5";2025-05-16 07:00:00;56,20;11,42;
"K-B3 ACOEM SW 5";2025-05-16 06:00:00;59,66;11,61;
"K-B3 ACOEM SW 5";2025-05-16 05:00:00;60,52;12,68;
"K-B3 ACOEM SW 5";2025-05-16 04:00:00;46,52;13,88;
"K-B3 ACOEM SW 5";2025-05-16 03:00:00;47,51;13,46;
"K-B3 ACOEM SW 5";2025-05-16 02:00:00;63,67;11,22;
"K-B3 ACOEM SW 5";2025-05-16 01:00:00;72,71;10,82;
"K-B3 ACOEM SW 5";2025-05-16 00:00:00;72,57;11,69;
"K-B3 ACOEM SW 5";2025-05-15 23:00:00;62,66;13,55;
"K-B3 ACOEM SW 5";2025-05-15 22:00:00;55,69;15,23;
"K-B3 ACOEM SW 5";2025-05-15 21:00:00;43,51;17,90;
"K-B3 ACOEM SW 5";2025-05-15 20:00:00;32,49;19,15;
"K-B3 ACOEM SW 5";2025-05-15 19:00:00;28,88;19,51;
"K-B3 ACOEM SW 5";2025-05-15 18:00:00;28,21;19,72;
"K-B3 ACOEM SW 5";2025-05-15 17:00:00;29,15;19,76;
"K-B3 ACOEM SW 5";2025-05-15 16:00:00;34,33;18,77;
"K-B3 ACOEM SW 5";2025-05-15 15:00:00;34,58;17,41;
"K-B3 ACOEM SW 5";2025-05-15 14:00:00;33,27;17,97;
"K-B3 ACOEM SW 5";2025-05-15 13:00:00;34,70;17,62;
"K-B3 ACOEM SW 5";2025-05-15 12:00:00;27,33;18,48;
"K-B3 ACOEM SW 5";2025-05-15 11:00:00;26,08;16,62;
"K-B3 ACOEM SW 5";2025-05-15 10:00:00;29,78;14,62;
"K-B3 ACOEM SW 5";2025-05-15 09:00:00;34,28;12,31;
"K-B3 ACOEM SW 5";2025-05-15 08:00:00;40,11;10,13;
"K-B3 ACOEM SW 5";2025-05-15 07:00:00;46,55;8,14;
"K-B3 ACOEM SW 5";2025-05-15 06:00:00;51,32;7,01;
"K-B3 ACOEM SW 5";2025-05-15 05:00:00;51,94;7,31;
"K-B3 ACOEM SW 5";2025-05-15 04:00:00;53,87;7,75;
"K-B3 ACOEM SW 5";2025-05-15 03:00:00;66,20;8,04;
"K-B3 ACOEM SW 5";2025-05-15 02:00:00;74,46;7,96;
"K-B3 ACOEM SW 5";2025-05-15 01:00:00;77,54;8,31;
"K-B3 ACOEM SW 5";2025-05-15 00:00:00;75,93;8,76;
"K-B3 ACOEM SW 5";2025-05-14 23:00:00;72,26;9,51;
"K-B3 ACOEM SW 5";2025-05-14 22:00:00;66,45;10,83;
"K-B3 ACOEM SW 5";2025-05-14 21:00:00;59,25;12,21;
"K-B3 ACOEM SW 5";2025-05-14 20:00:00;52,44;12,97;
"K-B3 ACOEM SW 5";2025-05-14 19:00:00;48,23;13,61;
"K-B3 ACOEM SW 5";2025-05-14 18:00:00;45,71;14,24;
"K-B3 ACOEM SW 5";2025-05-14 17:00:00;45,51;14,20;
"K-B3 ACOEM SW 5";2025-05-14 16:00:00;44,38;14,34;
"K-B3 ACOEM SW 5";2025-05-14 15:00:00;43,03;14,89;
"K-B3 ACOEM SW 5";2025-05-14 14:00:00;43,81;13,78;
"K-B3 ACOEM SW 5";2025-05-14 13:00:00;45,25;12,86;
"K-B3 ACOEM SW 5";2025-05-14 12:00:00;47,00;12,09;
"K-B3 ACOEM SW 5";2025-05-14 11:00:00;47,23;11,45;
"K-B3 ACOEM SW 5";2025-05-14 10:00:00;50,54;11,15;
"K-B3 ACOEM SW 5";2025-05-14 09:00:00;52,88;11,83;
"K-B3 ACOEM SW 5";2025-05-14 08:00:00;49,32;12,55;
"K-B3 ACOEM SW 5";2025-05-14 07:00:00;46,89;12,40;
"K-B3 ACOEM SW 5";2025-05-14 06:00:00;47,01;12,51;
"K-B3 ACOEM SW 5";2025-05-14 05:00:00;45,99;13,14;
"K-B3 ACOEM SW 5";2025-05-14 04:00:00;44,51;13,80;
"K-B3 ACOEM SW 5";2025-05-14 03:00:00;46,44;13,85;
"K-B3 ACOEM SW 5";2025-05-14 02:00:00;49,98;14,07;
"K-B3 ACOEM SW 5";2025-05-14 01:00:00;48,77;15,00;
"K-B3 ACOEM SW 5";2025-05-14 00:00:00;45,10;16,16;
"K-B3 ACOEM SW 5";2025-05-13 23:00:00;42,26;17,30;
"K-B3 ACOEM SW 5";2025-05-13 22:00:00;39,22;18,65;
"K-B3 ACOEM SW 5";2025-05-13 21:00:00;36,60;20,10;
"K-B3 ACOEM SW 5";2025-05-13 20:00:00;34,17;21,73;
"K-B3 ACOEM SW 5";2025-05-13 19:00:00;32,14;23,11;
"K-B3 ACOEM SW 5";2025-05-13 18:00:00;44,16;22,77;
"K-B3 ACOEM SW 5";2025-05-13 17:00:00;51,71;21,61;
"K-B3 ACOEM SW 5";2025-05-13 16:00:00;42,99;21,34;
"K-B3 ACOEM SW 5";2025-05-13 15:00:00;38,24;21,89;
"K-B3 ACOEM SW 5";2025-05-13 14:00:00;34,96;23,25;
"K-B3 ACOEM SW 5";2025-05-13 13:00:00;32,21;24,31;
"K-B3 ACOEM SW 5";2025-05-13 12:00:00;33,17;22,81;
"K-B3 ACOEM SW 5";2025-05-13 11:00:00;38,07;20,50;
"K-B3 ACOEM SW 5";2025-05-13 10:00:00;41,57;18,91;
"K-B3 ACOEM SW 5";2025-05-13 09:00:00;50,92;15,74;
"K-B3 ACOEM SW 5";2025-05-13 08:00:00;55,06;14,15;
"K-B3 ACOEM SW 5";2025-05-13 07:00:00;57,32;13,33;
"K-B3 ACOEM SW 5";2025-05-13 06:00:00;60,87;12,76;
"K-B3 ACOEM SW 5";2025-05-13 05:00:00;62,85;12,70;
"K-B3 ACOEM SW 5";2025-05-13 04:00:00;60,72;13,17;
"K-B3 ACOEM SW 5";2025-05-13 03:00:00;56,73;13,32;
"K-B3 ACOEM SW 5";2025-05-13 02:00:00;51,03;13,67;
"K-B3 ACOEM SW 5";2025-05-13 01:00:00;44,45;14,47;
"K-B3 ACOEM SW 5";2025-05-13 00:00:00;40,35;15,30;
"K-B3 ACOEM SW 5";2025-05-12 23:00:00;41,14;16,17;
"K-B3 ACOEM SW 5";2025-05-12 22:00:00;39,53;17,47;
"K-B3 ACOEM SW 5";2025-05-12 21:00:00;35,66;19,23;
"K-B3 ACOEM SW 5";2025-05-12 20:00:00;34,55;21,02;
"K-B3 ACOEM SW 5";2025-05-12 19:00:00;35,96;22,20;
"K-B3 ACOEM SW 5";2025-05-12 18:00:00;38,72;21,97;
"K-B3 ACOEM SW 5";2025-05-12 17:00:00;40,90;21,53;
"K-B3 ACOEM SW 5";2025-05-12 16:00:00;42,60;20,83;
"K-B3 ACOEM SW 5";2025-05-12 15:00:00;45,35;20,26;
"K-B3 ACOEM SW 5";2025-05-12 14:00:00;47,13;20,17;
"K-B3 ACOEM SW 5";2025-05-12 13:00:00;49,64;19,90;
"K-B3 ACOEM SW 5";2025-05-12 12:00:00;50,49;20,20;
"K-B3 ACOEM SW 5";2025-05-12 11:00:00;56,23;18,79;
"K-B3 ACOEM SW 5";2025-05-12 10:00:00;64,16;16,53;
"K-B3 ACOEM SW 5";2025-05-12 09:00:00;73,14;14,49;
"K-B3 ACOEM SW 5";2025-05-12 08:00:00;82,36;12,55;
"K-B3 ACOEM SW 5";2025-05-12 07:00:00;90,02;10,27;
"K-B3 ACOEM SW 5";2025-05-12 06:00:00;91,44;9,46;
"K-B3 ACOEM SW 5";2025-05-12 05:00:00;92,32;9,15;
"K-B3 ACOEM SW 5";2025-05-12 04:00:00;91,87;8,93;
"K-B3 ACOEM SW 5";2025-05-12 03:00:00;91,43;9,04;
"K-B3 ACOEM SW 5";2025-05-12 02:00:00;90,23;9,55;
"K-B3 ACOEM SW 5";2025-05-12 01:00:00;89,64;10,12;
"K-B3 ACOEM SW 5";2025-05-12 00:00:00;86,82;10,86;
"K-B3 ACOEM SW 5";2025-05-11 23:00:00;83,97;11,90;
"K-B3 ACOEM SW 5";2025-05-11 22:00:00;81,35;12,99;
"K-B3 ACOEM SW 5";2025-05-11 21:00:00;78,47;13,85;
"K-B3 ACOEM SW 5";2025-05-11 20:00:00;76,16;14,27;
"K-B3 ACOEM SW 5";2025-05-11 19:00:00;73,77;14,60;
"K-B3 ACOEM SW 5";2025-05-11 18:00:00;70,44;15,25;
"K-B3 ACOEM SW 5";2025-05-11 17:00:00;64,98;16,34;
"K-B3 ACOEM SW 5";2025-05-11 16:00:00;62,69;16,83;
"K-B3 ACOEM SW 5";2025-05-11 15:00:00;61,80;16,78;
"K-B3 ACOEM SW 5";2025-05-11 14:00:00;61,86;16,83;
"K-B3 ACOEM SW 5";2025-05-11 13:00:00;62,18;16,90;
"K-B3 ACOEM SW 5";2025-05-11 12:00:00;63,58;16,80;
"K-B3 ACOEM SW 5";2025-05-11 11:00:00;64,92;16,69;
"K-B3 ACOEM SW 5";2025-05-11 10:00:00;67,24;16,06;
"K-B3 ACOEM SW 5";2025-05-11 09:00:00;70,05;14,84;
"K-B3 ACOEM SW 5";2025-05-11 08:00:00;77,47;12,54;
"K-B3 ACOEM SW 5";2025-05-11 07:00:00;85,82;11,23;
"K-B3 ACOEM SW 5";2025-05-11 06:00:00;85,77;11,23;
"K-B3 ACOEM SW 5";2025-05-11 05:00:00;84,10;11,36;
"K-B3 ACOEM SW 5";2025-05-11 04:00:00;83,80;11,44;
"K-B3 ACOEM SW 5";2025-05-11 03:00:00;85,13;11,29;
"K-B3 ACOEM SW 5";2025-05-11 02:00:00;86,43;11,26;
"K-B3 ACOEM SW 5";2025-05-11 01:00:00;85,49;11,45;
"K-B3 ACOEM SW 5";2025-05-11 00:00:00;83,51;11,66;
"K-B3 ACOEM SW 5";2025-05-10 23:00:00;82,38;11,88;
"K-B3 ACOEM SW 5";2025-05-10 22:00:00;81,17;12,02;
"K-B3 ACOEM SW 5";2025-05-10 21:00:00;79,32;12,36;
"K-B3 ACOEM SW 5";2025-05-10 20:00:00;78,41;12,81;
"K-B3 ACOEM SW 5";2025-05-10 19:00:00;78,17;13,01;
"K-B3 ACOEM SW 5";2025-05-10 18:00:00;77,79;13,13;
"K-B3 ACOEM SW 5";2025-05-10 17:00:00;75,43;13,33;
"K-B3 ACOEM SW 5";2025-05-10 16:00:00;75,53;13,47;
"K-B3 ACOEM SW 5";2025-05-10 15:00:00;76,19;13,37;
"K-B3 ACOEM SW 5";2025-05-10 14:00:00;78,73;13,25;
"K-B3 ACOEM SW 5";2025-05-10 13:00:00;79,98;13,26;
"K-B3 ACOEM SW 5";2025-05-10 12:00:00;78,17;13,38;
"K-B3 ACOEM SW 5";2025-05-10 11:00:00;80,55;12,64;
"K-B3 ACOEM SW 5";2025-05-10 10:00:00;82,42;12,16;
"K-B3 ACOEM SW 5";2025-05-10 09:00:00;85,40;11,58;
"K-B3 ACOEM SW 5";2025-05-10 08:00:00;87,62;11,25;
"K-B3 ACOEM SW 5";2025-05-10 07:00:00;88,75;10,96;
"K-B3 ACOEM SW 5";2025-05-10 06:00:00;88,46;11,07;
"K-B3 ACOEM SW 5";2025-05-10 05:00:00;88,28;11,19;
"K-B3 ACOEM SW 5";2025-05-10 04:00:00;88,23;11,25;
"K-B3 ACOEM SW 5";2025-05-10 03:00:00;87,65;11,42;
"K-B3 ACOEM SW 5";2025-05-10 02:00:00;88,62;11,51;
"K-B3 ACOEM SW 5";2025-05-10 01:00:00;89,19;11,45;
"K-B3 ACOEM SW 5";2025-05-10 00:00:00;89,21;11,64;
"K-B3 ACOEM SW 5";2025-05-09 23:00:00;89,23;11,68;
"K-B3 ACOEM SW 5";2025-05-09 22:00:00;87,73;11,99;
"K-B3 ACOEM SW 5";2025-05-09 21:00:00;83,32;12,94;
"K-B3 ACOEM SW 5";2025-05-09 20:00:00;78,16;14,15;
"K-B3 ACOEM SW 5";2025-05-09 19:00:00;76,16;14,60;
"K-B3 ACOEM SW 5";2025-05-09 18:00:00;69,04;15,85;
"K-B3 ACOEM SW 5";2025-05-09 17:00:00;56,98;17,56;
"K-B3 ACOEM SW 5";2025-05-09 16:00:00;58,35;17,94;
"K-B3 ACOEM SW 5";2025-05-09 15:00:00;61,34;17,27;
"K-B3 ACOEM SW 5";2025-05-09 14:00:00;63,68;16,66;
"K-B3 ACOEM SW 5";2025-05-09 13:00:00;58,86;17,33;
"K-B3 ACOEM SW 5";2025-05-09 12:00:00;56,29;17,29;
"K-B3 ACOEM SW 5";2025-05-09 11:00:00;55,85;17,30;
"K-B3 ACOEM SW 5";2025-05-09 10:00:00;61,63;15,45;
"K-B3 ACOEM SW 5";2025-05-09 09:00:00;71,83;13,11;
"K-B3 ACOEM SW 5";2025-05-09 08:00:00;71,92;11,77;
"K-B3 ACOEM SW 5";2025-05-09 07:00:00;78,43;10,24;
"K-B3 ACOEM SW 5";2025-05-09 06:00:00;78,45;9,96;
"K-B3 ACOEM SW 5";2025-05-09 05:00:00;75,46;10,56;
"K-B3 ACOEM SW 5";2025-05-09 04:00:00;69,30;11,98;
"K-B3 ACOEM SW 5";2025-05-09 03:00:00;70,10;11,64;
"K-B3 ACOEM SW 5";2025-05-09 02:00:00;71,17;11,49;
"K-B3 ACOEM SW 5";2025-05-09 01:00:00;73,77;10,86;
"K-B3 ACOEM SW 5";2025-05-09 00:00:00;74,92;10,93;
"K-B3 ACOEM SW 5";2025-05-08 23:00:00;72,00;11,76;
"K-B3 ACOEM SW 5";2025-05-08 22:00:00;66,20;13,17;
"K-B3 ACOEM SW 5";2025-05-08 21:00:00;60,90;14,61;
"K-B3 ACOEM SW 5";2025-05-08 20:00:00;57,58;15,47;
"K-B3 ACOEM SW 5";2025-05-08 19:00:00;50,91;16,42;
"K-B3 ACOEM SW 5";2025-05-08 18:00:00;49,41;17,36;
"K-B3 ACOEM SW 5";2025-05-08 17:00:00;53,62;17,80;
"K-B3 ACOEM SW 5";2025-05-08 16:00:00;60,79;16,99;
"K-B3 ACOEM SW 5";2025-05-08 15:00:00;58,39;17,16;
"K-B3 ACOEM SW 5";2025-05-08 14:00:00;63,05;16,20;
"K-B3 ACOEM SW 5";2025-05-08 13:00:00;68,07;14,51;
"K-B3 ACOEM SW 5";2025-05-08 12:00:00;72,18;13,87;
"K-B3 ACOEM SW 5";2025-05-08 11:00:00;74,08;13,03;
"K-B3 ACOEM SW 5";2025-05-08 10:00:00;76,95;12,27;
"K-B3 ACOEM SW 5";2025-05-08 09:00:00;78,02;11,61;
"K-B3 ACOEM SW 5";2025-05-08 08:00:00;78,81;9,80;
"K-B3 ACOEM SW 5";2025-05-08 07:00:00;79,84;8,20;
"K-B3 ACOEM SW 5";2025-05-08 06:00:00;78,32;7,77;
"K-B3 ACOEM SW 5";2025-05-08 05:00:00;75,55;7,87;
"K-B3 ACOEM SW 5";2025-05-08 04:00:00;74,44;8,05;
"K-B3 ACOEM SW 5";2025-05-08 03:00:00;72,42;8,54;
"K-B3 ACOEM SW 5";2025-05-08 02:00:00;67,75;9,49;
"K-B3 ACOEM SW 5";2025-05-08 01:00:00;64,12;10,15;
"K-B3 ACOEM SW 5";2025-05-08 00:00:00;59,17;10,45;
"K-B3 ACOEM SW 5";2025-05-07 23:00:00;59,01;10,60;
"K-B3 ACOEM SW 5";2025-05-07 22:00:00;63,50;11,24;
"K-B3 ACOEM SW 5";2025-05-07 21:00:00;56,27;12,86;
"K-B3 ACOEM SW 5";2025-05-07 20:00:00;48,89;14,21;
"K-B3 ACOEM SW 5";2025-05-07 19:00:00;50,04;14,45;
"K-B3 ACOEM SW 5";2025-05-07 18:00:00;59,34;14,21;
"K-B3 ACOEM SW 5";2025-05-07 17:00:00;59,98;14,75;
"K-B3 ACOEM SW 5";2025-05-07 16:00:00;58,08;14,85;
"K-B3 ACOEM SW 5";2025-05-07 15:00:00;55,12;14,74;
"K-B3 ACOEM SW 5";2025-05-07 14:00:00;54,95;14,04;
"K-B3 ACOEM SW 5";2025-05-07 13:00:00;55,78;13,25;
"K-B3 ACOEM SW 5";2025-05-07 12:00:00;56,52;13,99;
"K-B3 ACOEM SW 5";2025-05-07 11:00:00;57,78;14,18;
"K-B3 ACOEM SW 5";2025-05-07 10:00:00;63,39;12,06;
"K-B3 ACOEM SW 5";2025-05-07 09:00:00;67,20;9,92;
"K-B3 ACOEM SW 5";2025-05-07 08:00:00;76,81;7,76;
"K-B3 ACOEM SW 5";2025-05-07 07:00:00;83,50;5,39;
"K-B3 ACOEM SW 5";2025-05-07 06:00:00;87,69;4,64;
"K-B3 ACOEM SW 5";2025-05-07 05:00:00;87,15;4,87;
"K-B3 ACOEM SW 5";2025-05-07 04:00:00;86,31;5,17;
"K-B3 ACOEM SW 5";2025-05-07 03:00:00;84,94;5,67;
"K-B3 ACOEM SW 5";2025-05-07 02:00:00;80,31;6,53;
"K-B3 ACOEM SW 5";2025-05-07 01:00:00;75,55;7,51;
"K-B3 ACOEM SW 5";2025-05-07 00:00:00;69,97;8,56;
"K-B3 ACOEM SW 5";2025-05-06 23:00:00;66,00;9,61;
"K-B3 ACOEM SW 5";2025-05-06 22:00:00;62,16;10,40;
"K-B3 ACOEM SW 5";2025-05-06 21:00:00;57,71;10,90;
"K-B3 ACOEM SW 5";2025-05-06 20:00:00;54,49;11,58;
"K-B3 ACOEM SW 5";2025-05-06 19:00:00;45,71;11,91;
"K-B3 ACOEM SW 5";2025-05-06 18:00:00;50,45;11,67;
"K-B3 ACOEM SW 5";2025-05-06 17:00:00;49,08;11,73;
"K-B3 ACOEM SW 5";2025-05-06 16:00:00;44,84;12,84;
"K-B3 ACOEM SW 5";2025-05-06 15:00:00;39,14;14,85;
"K-B3 ACOEM SW 5";2025-05-06 14:00:00;35,79;15,18;
"K-B3 ACOEM SW 5";2025-05-06 13:00:00;34,33;15,28;
"K-B3 ACOEM SW 5";2025-05-06 12:00:00;31,81;15,15;
"K-B3 ACOEM SW 5";2025-05-06 11:00:00;35,34;13,75;
"K-B3 ACOEM SW 5";2025-05-06 10:00:00;36,76;13,72;
"K-B3 ACOEM SW 5";2025-05-06 09:00:00;39,71;12,68;
"K-B3 ACOEM SW 5";2025-05-06 08:00:00;48,18;10,06;
"K-B3 ACOEM SW 5";2025-05-06 07:00:00;53,34;7,93;
"K-B3 ACOEM SW 5";2025-05-06 06:00:00;55,07;7,47;
"K-B3 ACOEM SW 5";2025-05-06 05:00:00;55,06;8,03;
"K-B3 ACOEM SW 5";2025-05-06 04:00:00;51,03;9,12;
"K-B3 ACOEM SW 5";2025-05-06 03:00:00;48,88;10,20;
"K-B3 ACOEM SW 5";2025-05-06 02:00:00;46,35;11,27;
"K-B3 ACOEM SW 5";2025-05-06 01:00:00;46,29;11,77;
"K-B3 ACOEM SW 5";2025-05-06 00:00:00;48,40;11,89;
"K-B3 ACOEM SW 5";2025-05-05 23:00:00;49,26;12,38;
"K-B3 ACOEM SW 5";2025-05-05 22:00:00;48,19;13,11;
"K-B3 ACOEM SW 5";2025-05-05 21:00:00;44,79;14,42;
"K-B3 ACOEM SW 5";2025-05-05 20:00:00;39,20;16,51;
"K-B3 ACOEM SW 5";2025-05-05 19:00:00;33,54;17,86;
"K-B3 ACOEM SW 5";2025-05-05 18:00:00;25,87;19,31;
"K-B3 ACOEM SW 5";2025-05-05 17:00:00;21,58;20,61;
"K-B3 ACOEM SW 5";2025-05-05 16:00:00;34,00;19,35;
"K-B3 ACOEM SW 5";2025-05-05 15:00:00;42,27;17,31;
"K-B3 ACOEM SW 5";2025-05-05 14:00:00;52,16;15,81;
"K-B3 ACOEM SW 5";2025-05-05 13:00:00;61,78;13,73;
"K-B3 ACOEM SW 5";2025-05-05 12:00:00;61,63;13,01;
"K-B3 ACOEM SW 5";2025-05-05 11:00:00;49,20;13,70;
"K-B3 ACOEM SW 5";2025-05-05 10:00:00;46,03;12,77;
"K-B3 ACOEM SW 5";2025-05-05 09:00:00;53,45;10,18;
"K-B3 ACOEM SW 5";2025-05-05 08:00:00;68,48;6,17;
"K-B3 ACOEM SW 5";2025-05-05 07:00:00;75,96;3,78;
"K-B3 ACOEM SW 5";2025-05-05 06:00:00;79,83;3,41;
"K-B3 ACOEM SW 5";2025-05-05 05:00:00;77,10;4,13;
"K-B3 ACOEM SW 5";2025-05-05 04:00:00;73,20;4,87;
"K-B3 ACOEM SW 5";2025-05-05 03:00:00;70,91;5,35;
"K-B3 ACOEM SW 5";2025-05-05 02:00:00;69,29;5,53;
"K-B3 ACOEM SW 5";2025-05-05 01:00:00;62,44;6,07;
"K-B3 ACOEM SW 5";2025-05-05 00:00:00;58,16;6,71;
"K-B3 ACOEM SW 5";2025-05-04 23:00:00;53,53;7,38;
"K-B3 ACOEM SW 5";2025-05-04 22:00:00;47,37;8,73;
"K-B3 ACOEM SW 5";2025-05-04 21:00:00;41,28;10,95;
"K-B3 ACOEM SW 5";2025-05-04 20:00:00;36,97;12,35;
"K-B3 ACOEM SW 5";2025-05-04 19:00:00;37,46;12,34;
"K-B3 ACOEM SW 5";2025-05-04 18:00:00;37,37;12,15;
"K-B3 ACOEM SW 5";2025-05-04 17:00:00;37,88;11,42;
"K-B3 ACOEM SW 5";2025-05-04 16:00:00;35,67;11,52;
"K-B3 ACOEM SW 5";2025-05-04 15:00:00;34,26;11,69;
"K-B3 ACOEM SW 5";2025-05-04 14:00:00;33,70;11,35;
"K-B3 ACOEM SW 5";2025-05-04 13:00:00;34,76;11,20;
"K-B3 ACOEM SW 5";2025-05-04 12:00:00;33,24;10,80;
"K-B3 ACOEM SW 5";2025-05-04 11:00:00;37,89;8,81;
